workerid,problem,treatment,domain,questions,options,votes,predictions,elicitation_format
5,9,4,3,14,"[27, 33, 39, 45]","[45, 33, 27, 39]",[],rank-none
5,10,4,1,15,"[29, 35, 41, 47]","[41, 29, 35, 47]",[],rank-none
6,1,2,2,18,"[12, 18, 24, 30]",[12],[30],top-top
6,2,2,3,2,"[3, 9, 15, 21]",[21],[9],top-top
6,3,2,1,1,"[1, 7, 13, 19]",[1],[13],top-top
6,4,2,3,8,"[15, 21, 27, 33]",[15],[33],top-top
6,5,2,3,17,"[2, 8, 14, 20]",[20],[2],top-top
6,6,1,2,10,"[19, 25, 31, 37]",[19],[],top-none
6,7,1,3,11,"[21, 27, 33, 39]",[21],[],top-none
6,8,1,1,11,"[21, 27, 33, 39]",[21],[],top-none
6,9,1,3,7,"[13, 19, 25, 31]",[31],[],top-none
6,10,1,3,17,"[2, 8, 14, 20]",[14],[],top-none
7,1,1,3,10,"[19, 25, 31, 37]",[37],[],top-none
7,2,1,3,19,"[22, 28, 34, 40]",[28],[],top-none
7,3,1,1,4,"[7, 13, 19, 25]",[25],[],top-none
7,4,1,3,16,"[31, 37, 43, 49]",[31],[],top-none
7,5,1,1,9,"[17, 23, 29, 35]",[29],[],top-none
7,6,3,3,13,"[25, 31, 37, 43]",[37],"[43, 25, 37, 31]",top-rank
7,7,3,3,6,"[11, 17, 23, 29]",[17],"[17, 23, 11, 29]",top-rank
7,8,3,1,11,"[21, 27, 33, 39]",[33],"[33, 39, 27, 21]",top-rank
7,9,3,3,11,"[21, 27, 33, 39]",[33],"[33, 21, 27, 39]",top-rank
7,10,3,1,8,"[15, 21, 27, 33]",[21],"[21, 15, 27, 33]",top-rank
8,1,6,2,15,"[29, 35, 41, 47]","[35, 29, 41, 47]","[35, 29, 41, 47]",rank-rank
8,2,6,2,16,"[31, 37, 43, 49]","[31, 37, 49, 43]","[37, 43, 31, 49]",rank-rank
8,3,6,3,12,"[23, 29, 35, 41]","[35, 29, 23, 41]","[41, 29, 35, 23]",rank-rank
8,4,6,1,9,"[17, 23, 29, 35]","[17, 29, 35, 23]","[29, 17, 35, 23]",rank-rank
8,5,6,3,4,"[7, 13, 19, 25]","[25, 19, 7, 13]","[19, 13, 25, 7]",rank-rank
8,6,5,2,17,"[2, 8, 14, 20]","[2, 8, 20, 14]",[2],rank-top
8,7,5,2,13,"[25, 31, 37, 43]","[31, 37, 25, 43]",[37],rank-top
8,8,5,3,3,"[5, 11, 17, 23]","[17, 11, 23, 5]",[17],rank-top
8,9,5,1,17,"[2, 8, 14, 20]","[2, 20, 14, 8]",[2],rank-top
8,10,5,3,8,"[15, 21, 27, 33]","[21, 15, 27, 33]",[27],rank-top
9,1,5,3,16,"[31, 37, 43, 49]","[43, 37, 49, 31]",[43],rank-top
9,2,5,2,2,"[3, 9, 15, 21]","[21, 3, 9, 15]",[21],rank-top
9,3,5,1,8,"[15, 21, 27, 33]","[21, 15, 27, 33]",[21],rank-top
9,4,5,1,15,"[29, 35, 41, 47]","[29, 41, 47, 35]",[41],rank-top
9,5,5,1,17,"[2, 8, 14, 20]","[2, 8, 20, 14]",[2],rank-top
9,6,4,3,16,"[31, 37, 43, 49]","[43, 37, 49, 31]",[],rank-none
9,7,4,2,16,"[31, 37, 43, 49]","[31, 49, 37, 43]",[],rank-none
9,8,4,1,12,"[23, 29, 35, 41]","[29, 41, 35, 23]",[],rank-none
9,9,4,1,17,"[2, 8, 14, 20]","[2, 8, 20, 14]",[],rank-none
9,10,4,1,16,"[31, 37, 43, 49]","[31, 37, 43, 49]",[],rank-none
10,1,6,3,19,"[22, 28, 34, 40]","[22, 34, 40, 28]","[22, 40, 34, 28]",rank-rank
10,2,6,3,2,"[3, 9, 15, 21]","[21, 15, 3, 9]","[3, 9, 15, 21]",rank-rank
10,3,6,3,8,"[15, 21, 27, 33]","[33, 21, 27, 15]","[27, 15, 21, 33]",rank-rank
10,4,6,2,15,"[29, 35, 41, 47]","[41, 47, 29, 35]","[29, 47, 35, 41]",rank-rank
10,5,6,2,3,"[5, 11, 17, 23]","[5, 17, 23, 11]","[5, 11, 17, 23]",rank-rank
10,6,2,3,19,"[22, 28, 34, 40]",[40],[22],top-top
10,7,2,3,20,"[32, 38, 44, 50]",[44],[32],top-top
10,8,2,3,17,"[2, 8, 14, 20]",[2],[8],top-top
10,9,2,2,20,"[32, 38, 44, 50]",[32],[44],top-top
10,10,2,2,9,"[17, 23, 29, 35]",[35],[35],top-top
11,1,4,2,5,"[9, 15, 21, 27]","[15, 21, 27, 9]",[],rank-none
11,2,4,3,5,"[9, 15, 21, 27]","[9, 27, 21, 15]",[],rank-none
11,3,4,2,6,"[11, 17, 23, 29]","[11, 17, 29, 23]",[],rank-none
11,4,4,2,14,"[27, 33, 39, 45]","[27, 39, 33, 45]",[],rank-none
11,5,4,1,16,"[31, 37, 43, 49]","[49, 31, 37, 43]",[],rank-none
11,6,5,2,7,"[13, 19, 25, 31]","[19, 25, 31, 13]",[19],rank-top
11,7,5,3,13,"[25, 31, 37, 43]","[43, 37, 31, 25]",[43],rank-top
11,8,5,2,1,"[1, 7, 13, 19]","[19, 7, 1, 13]",[19],rank-top
11,9,5,2,9,"[17, 23, 29, 35]","[29, 17, 23, 35]",[23],rank-top
11,10,5,1,20,"[32, 38, 44, 50]","[38, 32, 44, 50]",[32],rank-top
12,1,1,2,3,"[5, 11, 17, 23]",[17],[],top-none
12,2,1,1,3,"[5, 11, 17, 23]",[11],[],top-none
12,3,1,3,1,"[1, 7, 13, 19]",[1],[],top-none
12,4,1,2,7,"[13, 19, 25, 31]",[31],[],top-none
12,5,1,2,5,"[9, 15, 21, 27]",[9],[],top-none
12,6,3,2,15,"[29, 35, 41, 47]",[47],"[41, 47, 29, 35]",top-rank
12,7,3,1,20,"[32, 38, 44, 50]",[50],"[38, 50, 32, 44]",top-rank
12,8,3,3,1,"[1, 7, 13, 19]",[1],"[19, 7, 1, 13]",top-rank
12,9,3,2,1,"[1, 7, 13, 19]",[1],"[7, 1, 19, 13]",top-rank
12,10,3,2,10,"[19, 25, 31, 37]",[31],"[37, 31, 25, 19]",top-rank
13,1,3,1,16,"[31, 37, 43, 49]",[49],"[43, 37, 49, 31]",top-rank
13,2,3,2,11,"[21, 27, 33, 39]",[27],"[33, 27, 39, 21]",top-rank
13,3,3,2,4,"[7, 13, 19, 25]",[7],"[25, 7, 13, 19]",top-rank
13,4,3,1,9,"[17, 23, 29, 35]",[17],"[17, 29, 35, 23]",top-rank
13,5,3,1,3,"[5, 11, 17, 23]",[17],"[23, 17, 11, 5]",top-rank
13,6,4,1,2,"[3, 9, 15, 21]","[9, 15, 21, 3]",[],rank-none
13,7,4,2,13,"[25, 31, 37, 43]","[31, 37, 43, 25]",[],rank-none
13,8,4,2,4,"[7, 13, 19, 25]","[19, 25, 13, 7]",[],rank-none
13,9,4,1,5,"[9, 15, 21, 27]","[21, 27, 9, 15]",[],rank-none
13,10,4,1,18,"[12, 18, 24, 30]","[12, 30, 18, 24]",[],rank-none
14,1,3,2,13,"[25, 31, 37, 43]",[31],"[31, 37, 43, 25]",top-rank
14,2,3,1,13,"[25, 31, 37, 43]",[25],"[25, 37, 31, 43]",top-rank
14,3,3,2,3,"[5, 11, 17, 23]",[5],"[5, 23, 17, 11]",top-rank
14,4,3,2,14,"[27, 33, 39, 45]",[27],"[27, 45, 39, 33]",top-rank
14,5,3,1,20,"[32, 38, 44, 50]",[38],"[38, 44, 32, 50]",top-rank
14,6,5,2,16,"[31, 37, 43, 49]","[31, 37, 49, 43]",[31],rank-top
14,7,5,1,5,"[9, 15, 21, 27]","[9, 15, 21, 27]",[9],rank-top
14,8,5,2,1,"[1, 7, 13, 19]","[7, 1, 19, 13]",[7],rank-top
14,9,5,2,10,"[19, 25, 31, 37]","[31, 25, 19, 37]",[31],rank-top
14,10,5,1,16,"[31, 37, 43, 49]","[43, 49, 31, 37]",[43],rank-top
15,1,3,1,9,"[17, 23, 29, 35]",[17],"[17, 29, 23, 35]",top-rank
15,2,3,3,15,"[29, 35, 41, 47]",[29],"[29, 41, 35, 47]",top-rank
15,3,3,1,16,"[31, 37, 43, 49]",[37],"[37, 49, 43, 31]",top-rank
15,4,3,2,9,"[17, 23, 29, 35]",[29],"[29, 17, 35, 23]",top-rank
15,5,3,3,18,"[12, 18, 24, 30]",[12],"[18, 12, 30, 24]",top-rank
15,6,4,1,2,"[3, 9, 15, 21]","[21, 3, 15, 9]",[],rank-none
15,7,4,3,10,"[19, 25, 31, 37]","[19, 37, 31, 25]",[],rank-none
15,8,4,1,9,"[17, 23, 29, 35]","[17, 29, 35, 23]",[],rank-none
15,9,4,2,12,"[23, 29, 35, 41]","[29, 41, 35, 23]",[],rank-none
15,10,4,3,13,"[25, 31, 37, 43]","[25, 37, 31, 43]",[],rank-none
16,1,5,3,8,"[15, 21, 27, 33]","[27, 33, 21, 15]",[15],rank-top
16,2,5,2,9,"[17, 23, 29, 35]","[17, 23, 29, 35]",[35],rank-top
16,3,5,2,7,"[13, 19, 25, 31]","[31, 13, 25, 19]",[31],rank-top
16,4,5,1,11,"[21, 27, 33, 39]","[39, 21, 27, 33]",[21],rank-top
16,5,5,2,3,"[5, 11, 17, 23]","[17, 23, 5, 11]",[5],rank-top
16,6,2,3,16,"[31, 37, 43, 49]",[49],[43],top-top
16,7,2,2,1,"[1, 7, 13, 19]",[1],[7],top-top
16,8,2,2,8,"[15, 21, 27, 33]",[33],[27],top-top
16,9,2,1,13,"[25, 31, 37, 43]",[25],[37],top-top
16,10,2,2,10,"[19, 25, 31, 37]",[31],[25],top-top
17,1,3,1,9,"[17, 23, 29, 35]",[17],"[17, 23, 29, 35]",top-rank
17,2,3,1,14,"[27, 33, 39, 45]",[39],"[39, 45, 33, 27]",top-rank
17,3,3,3,1,"[1, 7, 13, 19]",[19],"[7, 19, 1, 13]",top-rank
17,4,3,2,3,"[5, 11, 17, 23]",[11],"[11, 5, 17, 23]",top-rank
17,5,3,1,16,"[31, 37, 43, 49]",[43],"[43, 49, 37, 31]",top-rank
17,6,4,1,5,"[9, 15, 21, 27]","[9, 27, 15, 21]",[],rank-none
17,7,4,1,19,"[22, 28, 34, 40]","[22, 28, 34, 40]",[],rank-none
17,8,4,3,14,"[27, 33, 39, 45]","[33, 27, 45, 39]",[],rank-none
17,9,4,2,10,"[19, 25, 31, 37]","[37, 25, 31, 19]",[],rank-none
17,10,4,1,17,"[2, 8, 14, 20]","[2, 8, 20, 14]",[],rank-none
18,1,2,3,11,"[21, 27, 33, 39]",[21],[39],top-top
18,2,2,3,3,"[5, 11, 17, 23]",[11],[23],top-top
18,3,2,2,9,"[17, 23, 29, 35]",[35],[29],top-top
18,4,2,1,5,"[9, 15, 21, 27]",[9],[21],top-top
18,5,2,2,7,"[13, 19, 25, 31]",[31],[25],top-top
18,6,3,3,7,"[13, 19, 25, 31]",[25],"[25, 31, 13, 19]",top-rank
18,7,3,3,17,"[2, 8, 14, 20]",[14],"[14, 8, 2, 20]",top-rank
18,8,3,2,13,"[25, 31, 37, 43]",[37],"[37, 25, 31, 43]",top-rank
18,9,3,1,13,"[25, 31, 37, 43]",[25],"[25, 43, 37, 31]",top-rank
18,10,3,2,14,"[27, 33, 39, 45]",[39],"[39, 27, 33, 45]",top-rank
19,1,4,2,1,"[1, 7, 13, 19]","[7, 13, 1, 19]",[],rank-none
19,2,4,3,19,"[22, 28, 34, 40]","[28, 40, 34, 22]",[],rank-none
19,3,4,1,12,"[23, 29, 35, 41]","[29, 41, 23, 35]",[],rank-none
19,4,4,1,4,"[7, 13, 19, 25]","[7, 25, 19, 13]",[],rank-none
19,5,4,2,9,"[17, 23, 29, 35]","[35, 29, 17, 23]",[],rank-none
19,6,2,2,6,"[11, 17, 23, 29]",[23],[29],top-top
19,7,2,3,10,"[19, 25, 31, 37]",[25],[19],top-top
19,8,2,1,10,"[19, 25, 31, 37]",[25],[37],top-top
19,9,2,1,8,"[15, 21, 27, 33]",[21],[33],top-top
19,10,2,2,15,"[29, 35, 41, 47]",[41],[29],top-top
20,1,3,1,14,"[27, 33, 39, 45]",[39],"[27, 39, 33, 45]",top-rank
20,2,3,1,19,"[22, 28, 34, 40]",[28],"[40, 28, 34, 22]",top-rank
20,3,3,1,12,"[23, 29, 35, 41]",[41],"[35, 41, 29, 23]",top-rank
20,4,3,2,16,"[31, 37, 43, 49]",[37],"[37, 49, 31, 43]",top-rank
20,5,3,1,7,"[13, 19, 25, 31]",[25],"[25, 13, 19, 31]",top-rank
20,6,5,1,7,"[13, 19, 25, 31]","[25, 13, 31, 19]",[25],rank-top
20,7,5,1,20,"[32, 38, 44, 50]","[38, 32, 50, 44]",[38],rank-top
20,8,5,1,8,"[15, 21, 27, 33]","[15, 27, 33, 21]",[27],rank-top
20,9,5,2,17,"[2, 8, 14, 20]","[2, 14, 8, 20]",[14],rank-top
20,10,5,1,19,"[22, 28, 34, 40]","[28, 34, 40, 22]",[34],rank-top
21,1,3,2,8,"[15, 21, 27, 33]",[27],"[27, 21, 33, 15]",top-rank
21,2,3,1,3,"[5, 11, 17, 23]",[11],"[11, 5, 23, 17]",top-rank
21,3,3,1,7,"[13, 19, 25, 31]",[19],"[19, 25, 31, 13]",top-rank
21,4,3,3,4,"[7, 13, 19, 25]",[19],"[13, 25, 7, 19]",top-rank
21,5,3,3,11,"[21, 27, 33, 39]",[27],"[33, 39, 21, 27]",top-rank
21,6,4,2,17,"[2, 8, 14, 20]","[14, 8, 20, 2]",[],rank-none
21,7,4,1,14,"[27, 33, 39, 45]","[45, 39, 33, 27]",[],rank-none
21,8,4,1,6,"[11, 17, 23, 29]","[11, 17, 23, 29]",[],rank-none
21,9,4,3,2,"[3, 9, 15, 21]","[15, 9, 3, 21]",[],rank-none
21,10,4,3,16,"[31, 37, 43, 49]","[43, 31, 49, 37]",[],rank-none
22,1,2,2,20,"[32, 38, 44, 50]",[38],[38],top-top
22,2,2,1,2,"[3, 9, 15, 21]",[3],[3],top-top
22,3,2,3,5,"[9, 15, 21, 27]",[15],[15],top-top
22,4,2,2,9,"[17, 23, 29, 35]",[23],[23],top-top
22,5,2,2,18,"[12, 18, 24, 30]",[30],[30],top-top
22,6,1,2,5,"[9, 15, 21, 27]",[15],[],top-none
22,7,1,1,1,"[1, 7, 13, 19]",[1],[],top-none
22,8,1,3,1,"[1, 7, 13, 19]",[1],[],top-none
22,9,1,2,1,"[1, 7, 13, 19]",[19],[],top-none
22,10,1,2,2,"[3, 9, 15, 21]",[15],[],top-none
23,1,2,1,8,"[15, 21, 27, 33]",[21],[33],top-top
23,2,2,2,1,"[1, 7, 13, 19]",[1],[7],top-top
23,3,2,1,9,"[17, 23, 29, 35]",[29],[29],top-top
23,4,2,3,14,"[27, 33, 39, 45]",[45],[39],top-top
23,5,2,1,11,"[21, 27, 33, 39]",[21],[33],top-top
23,6,1,1,12,"[23, 29, 35, 41]",[29],[],top-none
23,7,1,2,1,"[1, 7, 13, 19]",[1],[],top-none
23,8,1,1,20,"[32, 38, 44, 50]",[38],[],top-none
23,9,1,3,14,"[27, 33, 39, 45]",[45],[],top-none
23,10,1,1,11,"[21, 27, 33, 39]",[21],[],top-none
24,1,3,2,12,"[23, 29, 35, 41]",[35],"[35, 23, 41, 29]",top-rank
24,2,3,1,20,"[32, 38, 44, 50]",[38],"[32, 38, 44, 50]",top-rank
24,3,3,3,8,"[15, 21, 27, 33]",[21],"[21, 15, 33, 27]",top-rank
24,4,3,1,17,"[2, 8, 14, 20]",[2],"[2, 8, 20, 14]",top-rank
24,5,3,3,18,"[12, 18, 24, 30]",[12],"[12, 18, 30, 24]",top-rank
24,6,5,2,9,"[17, 23, 29, 35]","[17, 35, 23, 29]",[17],rank-top
24,7,5,1,1,"[1, 7, 13, 19]","[1, 7, 19, 13]",[1],rank-top
24,8,5,3,18,"[12, 18, 24, 30]","[12, 18, 30, 24]",[12],rank-top
24,9,5,1,10,"[19, 25, 31, 37]","[25, 19, 37, 31]",[25],rank-top
24,10,5,3,8,"[15, 21, 27, 33]","[21, 15, 33, 27]",[21],rank-top
25,1,3,1,14,"[27, 33, 39, 45]",[27],"[27, 33, 45, 39]",top-rank
25,2,3,1,8,"[15, 21, 27, 33]",[15],"[15, 21, 27, 33]",top-rank
25,3,3,3,14,"[27, 33, 39, 45]",[33],"[33, 45, 39, 27]",top-rank
25,4,3,1,16,"[31, 37, 43, 49]",[31],"[31, 43, 37, 49]",top-rank
25,5,3,1,11,"[21, 27, 33, 39]",[21],"[21, 27, 33, 39]",top-rank
25,6,4,1,3,"[5, 11, 17, 23]","[5, 11, 17, 23]",[],rank-none
25,7,4,1,10,"[19, 25, 31, 37]","[19, 25, 31, 37]",[],rank-none
25,8,4,3,8,"[15, 21, 27, 33]","[21, 15, 33, 27]",[],rank-none
25,9,4,1,16,"[31, 37, 43, 49]","[37, 43, 49, 31]",[],rank-none
25,10,4,1,13,"[25, 31, 37, 43]","[25, 31, 37, 43]",[],rank-none
26,1,6,1,17,"[2, 8, 14, 20]","[14, 2, 8, 20]","[8, 20, 2, 14]",rank-rank
26,2,6,1,5,"[9, 15, 21, 27]","[15, 27, 9, 21]","[15, 21, 9, 27]",rank-rank
26,3,6,2,9,"[17, 23, 29, 35]","[23, 35, 29, 17]","[17, 23, 35, 29]",rank-rank
26,4,6,3,6,"[11, 17, 23, 29]","[23, 11, 17, 29]","[29, 11, 23, 17]",rank-rank
26,5,6,3,16,"[31, 37, 43, 49]","[37, 49, 31, 43]","[31, 43, 37, 49]",rank-rank
26,6,2,1,19,"[22, 28, 34, 40]",[34],[22],top-top
26,7,2,1,10,"[19, 25, 31, 37]",[37],[25],top-top
26,8,2,2,3,"[5, 11, 17, 23]",[5],[11],top-top
26,9,2,3,16,"[31, 37, 43, 49]",[49],[31],top-top
26,10,2,3,1,"[1, 7, 13, 19]",[19],[1],top-top
27,1,1,1,12,"[23, 29, 35, 41]",[41],[],top-none
27,2,1,1,13,"[25, 31, 37, 43]",[37],[],top-none
27,3,1,2,15,"[29, 35, 41, 47]",[35],[],top-none
27,4,1,1,18,"[12, 18, 24, 30]",[18],[],top-none
27,5,1,2,6,"[11, 17, 23, 29]",[11],[],top-none
27,6,4,1,19,"[22, 28, 34, 40]","[22, 40, 28, 34]",[],rank-none
27,7,4,1,2,"[3, 9, 15, 21]","[3, 9, 15, 21]",[],rank-none
27,8,4,2,1,"[1, 7, 13, 19]","[19, 1, 7, 13]",[],rank-none
27,9,4,1,18,"[12, 18, 24, 30]","[18, 24, 30, 12]",[],rank-none
27,10,4,2,9,"[17, 23, 29, 35]","[17, 35, 23, 29]",[],rank-none
28,1,4,2,3,"[5, 11, 17, 23]","[5, 17, 23, 11]",[],rank-none
28,2,4,2,15,"[29, 35, 41, 47]","[35, 47, 29, 41]",[],rank-none
28,3,4,2,19,"[22, 28, 34, 40]","[40, 28, 22, 34]",[],rank-none
28,4,4,2,6,"[11, 17, 23, 29]","[17, 23, 29, 11]",[],rank-none
28,5,4,1,15,"[29, 35, 41, 47]","[29, 41, 35, 47]",[],rank-none
28,6,3,2,4,"[7, 13, 19, 25]",[7],"[7, 25, 19, 13]",top-rank
28,7,3,2,3,"[5, 11, 17, 23]",[5],"[17, 5, 23, 11]",top-rank
28,8,3,2,18,"[12, 18, 24, 30]",[30],"[30, 12, 18, 24]",top-rank
28,9,3,2,11,"[21, 27, 33, 39]",[33],"[33, 39, 27, 21]",top-rank
28,10,3,1,18,"[12, 18, 24, 30]",[24],"[24, 30, 18, 12]",top-rank
29,1,1,2,18,"[12, 18, 24, 30]",[30],[],top-none
29,2,1,1,11,"[21, 27, 33, 39]",[21],[],top-none
29,3,1,1,15,"[29, 35, 41, 47]",[29],[],top-none
29,4,1,3,1,"[1, 7, 13, 19]",[7],[],top-none
29,5,1,1,19,"[22, 28, 34, 40]",[40],[],top-none
29,6,4,2,18,"[12, 18, 24, 30]","[30, 24, 18, 12]",[],rank-none
29,7,4,1,11,"[21, 27, 33, 39]","[21, 39, 27, 33]",[],rank-none
29,8,4,1,17,"[2, 8, 14, 20]","[20, 8, 14, 2]",[],rank-none
29,9,4,3,19,"[22, 28, 34, 40]","[22, 34, 28, 40]",[],rank-none
29,10,4,1,10,"[19, 25, 31, 37]","[19, 31, 25, 37]",[],rank-none
30,1,6,1,13,"[25, 31, 37, 43]","[43, 25, 31, 37]","[25, 43, 31, 37]",rank-rank
30,2,6,2,17,"[2, 8, 14, 20]","[2, 14, 8, 20]","[14, 2, 8, 20]",rank-rank
30,3,6,3,17,"[2, 8, 14, 20]","[2, 14, 20, 8]","[20, 2, 14, 8]",rank-rank
30,4,6,2,11,"[21, 27, 33, 39]","[39, 27, 21, 33]","[21, 39, 33, 27]",rank-rank
30,5,6,2,2,"[3, 9, 15, 21]","[9, 15, 21, 3]","[15, 9, 21, 3]",rank-rank
30,6,2,1,9,"[17, 23, 29, 35]",[17],[29],top-top
30,7,2,2,17,"[2, 8, 14, 20]",[2],[2],top-top
30,8,2,3,4,"[7, 13, 19, 25]",[19],[25],top-top
30,9,2,2,1,"[1, 7, 13, 19]",[7],[1],top-top
30,10,2,2,18,"[12, 18, 24, 30]",[30],[30],top-top
31,1,1,2,6,"[11, 17, 23, 29]",[23],[],top-none
31,2,1,1,2,"[3, 9, 15, 21]",[3],[],top-none
31,3,1,3,9,"[17, 23, 29, 35]",[3],[],top-none
31,4,1,1,1,"[1, 7, 13, 19]",[1],[],top-none
31,5,1,1,11,"[21, 27, 33, 39]",[21],[],top-none
31,6,6,2,17,"[2, 8, 14, 20]","[2, 8, 14, 20]","[20, 8, 2, 14]",rank-rank
31,7,6,1,9,"[17, 23, 29, 35]","[35, 29, 17, 23]","[17, 23, 35, 29]",rank-rank
31,8,6,3,1,"[1, 7, 13, 19]","[13, 7, 19, 1]","[19, 13, 7, 1]",rank-rank
31,9,6,1,1,"[1, 7, 13, 19]","[1, 7, 19, 13]","[1, 7, 19, 13]",rank-rank
31,10,6,1,10,"[19, 25, 31, 37]","[19, 25, 37, 31]","[37, 31, 19, 25]",rank-rank
32,1,6,1,14,"[27, 33, 39, 45]","[27, 33, 39, 45]","[27, 45, 39, 33]",rank-rank
32,2,6,3,11,"[21, 27, 33, 39]","[21, 39, 33, 27]","[39, 33, 21, 27]",rank-rank
32,3,6,3,14,"[27, 33, 39, 45]","[45, 39, 33, 27]","[39, 45, 33, 27]",rank-rank
32,4,6,2,9,"[17, 23, 29, 35]","[35, 23, 17, 29]","[35, 23, 17, 29]",rank-rank
32,5,6,1,1,"[1, 7, 13, 19]","[1, 7, 13, 19]","[1, 13, 7, 19]",rank-rank
32,6,2,1,15,"[29, 35, 41, 47]",[35],[41],top-top
32,7,2,3,12,"[23, 29, 35, 41]",[35],[41],top-top
32,8,2,3,10,"[19, 25, 31, 37]",[19],[37],top-top
32,9,2,2,8,"[15, 21, 27, 33]",[27],[27],top-top
32,10,2,1,1,"[1, 7, 13, 19]",[1],[1],top-top
33,1,4,2,10,"[19, 25, 31, 37]","[31, 19, 37, 25]",[],rank-none
33,2,4,2,16,"[31, 37, 43, 49]","[31, 43, 49, 37]",[],rank-none
33,3,4,1,2,"[3, 9, 15, 21]","[21, 3, 15, 9]",[],rank-none
33,4,4,1,3,"[5, 11, 17, 23]","[11, 5, 17, 23]",[],rank-none
33,5,4,1,14,"[27, 33, 39, 45]","[27, 45, 33, 39]",[],rank-none
33,6,1,2,6,"[11, 17, 23, 29]",[17],[],top-none
33,7,1,2,3,"[5, 11, 17, 23]",[17],[],top-none
33,8,1,1,1,"[1, 7, 13, 19]",[19],[],top-none
33,9,1,1,5,"[9, 15, 21, 27]",[21],[],top-none
33,10,1,1,4,"[7, 13, 19, 25]",[19],[],top-none
34,1,2,3,12,"[23, 29, 35, 41]",[41],[23],top-top
34,2,2,3,16,"[31, 37, 43, 49]",[31],[31],top-top
